ejgrants_0
OBJECTID,Announcement Date,Award Date,Project Title,Project Description,Recipient,Funding Source,Type of Award,Funding Status,Federal Award Identification Number,Award Amount,Location,Latitude,Longitude,Zip Code,City,County,State,Assistance Listing, Program,Investment Category,Website Url,Announcement Url,Data Extract Date,x,y
348,,04-24-2024,Engaging K-12 communities in Civic Science to Monitor Air Quality and Watershed Health in Greater Houston,"This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to The Children s Environmental Literacy Foundation (CELF  Specifically, the recipient will cultivate the next generation of environmental justice advocates, equipped with Science, Technology, Engineering, Arts, and Math (STEAM) skills to protect local watersheds and enhance climate resilience through school-community collaboration. The project will engage Title 1 middle and high schools in economically disadvantaged environmental justice communities of Greater Houston. Leveraging the Children Environmental Literacy Foundation (CELF) Civic Science Inquiry to Action Framework, this project will deliver teacher training focused on facilitating data collection and analysis, and legacy student action projects that raise awareness of watershed stewardship strategies and solutions.

Activities:
The activities include: 1) Professional development to 45+ teachers over three years, leveraging data analysis and project communication activities to build students and rsquo; STEAM skills and longitudinal datasets with 1,250+ students; 2) Field trips for 45+ classrooms to local waterways for data collection activities; 3) Provision of water testing kits, air quality monitors, and other project supplies; 4) Engagement of families and community members in student action plans; 5) Culminating Student Symposium held annually to showcase 75+ students and rsquo; research and inspire action among collaborating families, coalition partners, industry professionals, and policy-makers.

Outcomes:
The anticipated deliverables include photos, meeting minutes, sign-in sheets, established goals, reported outcomes 
The expected outcomes include teachers gaining skills for facilitating student inquiry activities aligned with the revised Texas Essential Knowledge and Skills. Students will develop their sense of agency for contributing to public education on local environmental justice issues and climate resilience.
The intended beneficiaries include Greater Houston school district communities: Channelview ISD in Channelview, TX 77530 (Year 1); Aldine ISD in Aldine, TX 77073; Houston ISD in Houston, TX 7703); and Pasadena ISD in Pasadena, TX 77504.

Subrecipient:
Galveston Bay Foundation - Will collaborate on goal setting sessions, professional development activities, student action projects, assisting during student field trips, final teacher reflection and other events as needed. Galveston Bay Foundation will also collaborate on the educator professional development retreat at the Galveston Bay Foundation s Trinity Bay Discovery Center and hold the school district administrator institute at Trinity Bay Discovery Center as well.

Rice University - Will engage faculty and graduate student cohorts as co-facilitators during teacher training workshops and student data collection field visits. Rice University will host the Children s Environmental Literacy Foundation annual Student Symposium event in Year 3. In addition, Rice University will offer access for participating teachers to accredited
graduate education programming for credit to support their career advancement and skill base to effectively facilitate place-based student learning and meaningful community engagement.",CHILDREN'S ENVIRONMENTAL LITERACY FOUNDATION INC,IRA,Primary,Awarded,02F50501,425616,"Harris County, TX",29.793022,-95.11448,,,Harris County,TX,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-95.11448,29.7930219991859
349,,12-06-2024,Inflation Reduction Act - Environmental Justice Collaborative Problem-Solving,"This agreement provides funding under the Inflation Reduction Act (IRA) to the non-profit organization, the Anza-Borrego Foundation. They are based in Borrego Springs, San Diego County, California and are the official non-profit partner of the Anza-Borrego Desert State Park. Specifically, the project will create a  and quot;Club de Exploradores de Borrego Springs and quot  In English, this translates to  and quot;Borrego Springs Explorers Club and quot  The award will be used to hire and support three Program Coordinators, who will be tasked with leading outings and other educational activities with local middle school students and their families. The students and their families will learn about safe outdoor recreation and environmental topics specific to where they live, Borrego Springs. The Club de Exploradores de Borrego Springs activities will occur on a yearly basis, with new participants integrated annually until the end of the project period. 

This agreement provides full federal funding in the amount of $499,735. Refer to Terms and Conditions. 




Activities:
The yearly educational activities include ten outings for outdoor club members with some open to their whole families. They include an off-road drive; archaeology lab and site visit; wildflower plant walk; camping trip with night sky astronomy program; paleontology lab and geology site visit; equestrian tour; hike at Palomar mountain and observatory visit; Salton Sea visit; mountain biking; and an Anza-Borrego in focus lecture and field trip. In between the field trips, there will be   and quot;Explorers Club Nights and quot; which will serve as club-like community gatherings. During that time the students will be able to watch movies, share pictures from field trips, and work on the club s biannual newsletter. Explorers Club Nights will also serve as a venue for distributing information to parents about civic activities happening in the community, such as forums and meetings related to water conservation and decarbonization. 



Outcomes:
The results of these outings are guided experiences that lead to students becoming knowledgeable about many facets of Park resources, confident in the outdoors, in both desert and mountains, and students and families who become liaisons to the larger community. Through outdoor and environmental education, the students and their families will be informed and empowered regarding environmental issues and policy in their community as the first step to inspiring their involvement at the decision-making level. Additionally, their overall health outcomes are supported through outdoor recreation opportunities. The program newsletter will be shared twice a year (June, 2025, January, 2026, June 2026, January 2027, June, 2027) with the community and relevant stakeholders and will be written and created by club members to document their experiences. The result of this will be a mode of processing and communicating experiences and sharing new experiences with the larger community. Additionally, these  and ldquo;Explorers Club Nights and rdquo; will serve as touchpoints for empowerment of parents to improve confidence and have a voice in the larger community. 




Subrecipient:
They will subaward $10,000 to Organizaci and oacute;n Latinx (OLAX) for student scholarships to attend the program, which they will manage, and also to cover their translation services and any other assistance they will provide in the implementation of the programs.",abf6059 - ANZA-BORREGO FOUNDATION,IRA,Primary,Awarded,97T29101,499735,"Borrego Springs, CA",33.24098,-116.35714,,Borrego Springs,,CA,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-116.35714,33.2409799991346
350,,05-23-2024,Cooling Solutions for Heat and Health,"The agreement provides funding to Mystic River Watershed Association. Specifically, the recipient will convene stakeholders including residents, in Chelsea, Everett and Malden (combined population of 111,019  These are three highly urbanized cities in the Mystic River Watershed where residents are disproportionately impacted by heat and poor air quality and ndash;to develop resident-led policy, systems and environmental interventions related to heat. The ultimate outcomes will be increased resilience to extreme heat resulting in a reduction in conditions that exacerbate respiratory incidents and emergency room visits caused by heat.

Activities:
The activities include convening and empowering a 12-member resident steering committee; hosting 9 community workshops; reaching 1,000 residents through direct outreach and engagement; creating a toolkit for residents and municipalities on mitigation interventions; developing at least one intervention each community; and sharing knowledge through 2 webinars and 1 meeting of regional organizations.

Outcomes:
The anticipated deliverables include: a 12-member resident steering committee; 9 community workshops; 1,000 residents reached through direct outreach and engagement; Toolkit for residents and municipalities on mitigation interventions.

The expected outcomes include: Reduction in conditions that exacerbate respiratory incidents; heat impacts mitigated; quality of life improved. Reduced rates of emergency room visits related to heat stress. Increased resilience to extreme heat in Chelsea, Everett and Malden. Interventions expanded and implemented, reducing heat impacts in most vulnerable 
neighborhoods. Lessons learned and replicable models shared broadly with goal for implementation across other EJ communities.

The intended beneficiaries include: Residents of Chelsea, Everett and Malden and their municipal staff and leadership as well as community based organizations.


Subrecipient:
GreenRoots will Participate in project team meetings, Assist with Resident Steering Committee  and amp; stakeholder group; lead resident engagement in Chelsea, complete cool block intervention  and amp; participate in development of other cooling strategies.

Everett Community Growers will participate in project team meetings, Assist with Resident Steering Committee  and amp; stakeholder group; lead resident engagement in Everett, provide content expertise on cool blocks cooling interventions.

Chinese Cultural Connection will participate in project team meetings, Assist with Resident Steering Committee  and amp; stakeholder group; lead resident engagement in Malden, participate in development of cooling strategies.

Cambridge Health Alliance will lead in connecting climate and public health issues (messaging, workshops, webinars and potential behavior change opportunities); assist with community engagement in Malden and Everett; participate in stakeholder meetings; meet with and recruit additional municipal and state supporters.","MYSTIC RIVER WATERSHED ASSOCIATION, INC.",IRA,Primary,Awarded,00A01150,500000,"Suffolk County, MA",42.33855,-71.01825,,,Suffolk County,MA,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-71.01825,42.3385499990607
351,,12-11-2024,Home Electrification and Revitalization Opportunity (HERO) Program,"The agreement under the Inflation Reduction Act provides funding to City of Rochester New York. Specifically, the recipient will fund energy audits and the installation of electric appliances, rooftop solar, electrical panel upgrades, EV charging to support the creation of sustainable housing that reduces exposure to asthma and other respiratory illnesses, provides residents with access to sustainable technologies and renewable energy, reduces community-wide greenhouse gas emissions, and reduces energy cost burdens. The Home Electrification and Revitalization Opportunity program will serve as a pilot to develop a replicable model to achieve meaningful and measurable environmental and public health results.

Activities:
The activities include selecting structures, specifying work scope and specifications with the assistance of project partners and consultant, and completing rehabilitations and inspections. Tours of rehabilitated houses and educational outreach on available technologies and incentives will be offered. There will also be monitoring to measure energy cost savings, greenhouse gas emissions reductions, and an assessment of health benefits that includes analysis of existing data and local plans/policies, stakeholder interviews, a literature review, health pathway analysis, and recommendations.

Outcomes:
The anticipated deliverables include energy audits of 20 houses and subsequent beneficial electrification and clean energy improvements, program partner surveys, homebuyer questionnaires, a Program Assessment Report, a report documenting program benefits, and semi-annual and final reports. The expected outcomes include reduced greenhouse gas emissions, reduced energy costs and increased economic security for low-income residents of rehabilitated houses, improved indoor air quality and long-term health benefits for residents, reduced rates of childhood asthma, increased familiarity and capacity among local contractors and housing organizations about installation techniques, costs, and benefits of installing clean energy improvements, and increased community awareness of the needs for, benefits of, and available incentives for clean energy and home electrification. The intended beneficiaries include lower-income and disadvantaged homebuyers and residents of the 20 rehabilitated houses, as well as the City of Rochester New York and its residents, project partners, and local building improvement contractors and developers.

Subrecipient:
Subrecipients Rochester Land Bank Corporation, Greater Rochester Housing Partnership, and Greater Rochester Habitat for Humanity will incorporate program administration, energy audits and electrification in the form of rooftop solar, electric appliances, EV charging, required panel upgrades into their work scopes for three, twelve, and five homes, respectively. They will procure appropriate subcontractors, as necessary, and oversee installations.",CITY OF ROCHESTER CITY HALL,IRA,Primary,Awarded,96267200,1000000,"Rochester, NY",43.168877,-77.61593,,Rochester,,NY,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-77.6159299999999,43.1688769990587
352,,12-20-2024,Environmental and Climate Justice Block Grant Program,"This action approves funding in the amount of $11,396,020 under the Inflation Reduction Act (IRA) to the Sustainability Institute of South Carolina. Specifically, the project will: provide funding to the Sustainability Institute of South Carolina along with its statutory partner, the City of North Charleston to reduce greenhouse gas emissions by weatherizing and retrofitting existing homes; restore a historically black community previously disintegrated by the construction of Highway 218, and develop newly constructed energy efficient affordable homes to benefit disadvantaged persons in the Union Heights community in North Charleston; and create training and workforce programs to train community members in environmental justice and preparation for environmental justice jobs.




Activities:
The activities to be preformed include: repairing, weatherizing, fortifying and upgrading the energy efficiency and resilience of fifty (50) existing homes to reduce greenhouse gas emissions that will result in improved health outcomes for families; project 218  and ndash; developing 2.77 acres of land formerly occupied by Exit 218 to pilot a new paradigm for energy efficient/zero-energy housing construction and affordable, resilient development by constructing 10 single-family  and ldquo;green and rdquo; homes, with land to be transferred to and operated by a community-based land trust; constructing one  and ldquo;showcase and rdquo; home that will be used for purposes of community demonstration, outreach, and education, and will showcase zero-energy, healthy, resilient and low-carbon technologies; expanding economic opportunity  and ndash; particularly for the next generation of climate workers and leaders  and ndash; by harnessing a long-standing and accredited AmeriCorps workforce training and service-learning program focused on climate-related jobs; and providing opportunities for community residents to become skillfully engaged and drive the shaping of the community and rsquo;s future through investments in leadership development and training.



Outcomes:
The anticipated deliverables include 50 weatherized, energy efficient existing homes and constructing a total of 30 newly constructed energy efficient homes; hosting trainings and workshops in environmental justice to educate community members and prepare them for the environmental justice workforce: installed pervious paving, planted native plants, trees, installed rain collection devices, and constructed rain gardens. The expected outcomes include less outdoor and indoor pollution in the Union Heights community, improved health outcomes of the community, and lower energy burdens as a result of this project. The intended beneficiaries are disadvantaged communities.



Subrecipient:
Activities to be implemented through subawards include but are not limited to the following:  home energy retrofits, show case housing, workforce training, community engagement and leadership training, green Infrastructure and nature-based solutions.",si0695 - Sustainability Institute,IRA,Primary,Awarded,03D30824,11396020,"North Charleston, SC",32.864548,-79.988976,29405,North Charleston,Charleston County,SC,66.616,Environmental Justice Community Change Grants,Protecting Communities,https://www.epa.gov/inflation-reduction-act/inflation-reduction-act-community-change-grants-program,,01-31-2025,-79.988976,32.8645479991396
353,,05-30-2024,Wildfire Preparedness and Resiliency in Farmworker Communities,"The agreement provides funding to Farmworkers Justice. Specifically, the recipient will Farmworker Justice and rsquo;s project will build capacity among farmworker-serving partners to perform community outreach and improve wildfire emergency preparedness and disaster resiliency among farmworker communities by providing access to information and links to resources. During the three-year project, FJ will partner with organizations in Washington state to create a toolkit of resources as well as SMS/text messages to 10,258 farmworkers in Washington state. During the first two years of the project, FJ, its project partners, and the project Advisory Committee will pilot the toolkit in Washington with the aim of scaling the project to the national level during year 3.

Activities:
The activities include; Element 1: Issue Identification, Community Vision, and Strategic Goal Setting. Wildfire smoke was identified as a problem having significant impacts on farmworker communities by various CBOs during meetings for the Western Pact on Heat and Wildfire Smoke. CBOs also identified gaps in emergency preparedness and ndash;such as insufficient communication of emergency information in relevant languages and difficulties reaching workers living in labor camps)  and ndash; that this project will seek to address. Element 2: Community Capacity-Building and Leadership Development. This project will build the capacity of farmworker-serving CBOs by developing and distributing informational materials designed for farmworkers, using technology to connect communities to disaster preparedness and resources, providing outreach guidance and support, and creating new collaborations through which organizations can share resources and information. Element 3: Consensus Building and Dispute Resolution. We will work with our partners to create an inclusive space where they have equal opportunity to provide input in a consensus-based decision-making process. Element 4: Multi-Stakeholder Partnerships and Leveraging of Resources. The grantee will partner with the following stakeholders: Moses Lake Community Health Center (MLCHC), Northwest Regional Primary Care Association (NWRPCA), and the National Migrant and Seasonal Head Start Collaboration Office (NMSHSCO)/FHI 360. By bringing our resources and expertise together, we will be able to identify gaps in wildfire preparedness, provide resources and information to underserved farmworkers, and devise strategies to maximize our impact. Element 5: Constructive Engagement by Relevant Stakeholders. The grantee will engage a National Advisory Committee whose members will include the Pacific Northwest Agricultural Health  and amp; Safety Center (PNASH) at the University of Washington, Washington State University, representatives from community, environmental and/or environmental justice organizations, and a representative from each of our three partner organizations (for a total of up to 8 members  The Advisory Committee will provide guidance on various aspects of the project, including the needs assessment, materials development and evaluation, outreach and communication strategies, etc. Element 6: Sound Management and Implementation. FJ and our partner organizations have ample experience with federal grants and have auditing and management systems in place to ensure that all financial requirements are followed. Element 7: Evaluation, Lessons Learned, and Replication of Best Practices. In Year 2 (2025), we will evaluate all project materials with feedback from our partners and Advisory Committee and make revisions. In Year 3 (2026), an outside consultant will lead an evaluation of project results, identify best practices and areas for improvement, and develop recommendations for scaling up the project to the national level. We will convene a national meeting of farmworker-serving organizations prior to the 2026 wildfire season to discuss national replication of the project using best practices derived from Year 1 - 3",FARMWORKER JUSTICE FUND INC,IRA,Primary,Awarded,02J57301,500000,Washington,47.411617,-120.59282,,,,WA,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-120.59282,47.4116169990603
354,,06-13-2024,Community Engagement Process for Flint Climate Change and Resiliency Plan,"This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to the City of Flint. Specifically, the recipient will collaborate with community and academic partners to facilitate the creation of a Climate Change and Resiliency plan for the City of Flint that accurately reflects the desires and needs of its residents. The plan will be integrated into existing plans, like the 2013 Imagine Flint Master Plan, to guide future allocation of resources, to prepare for the impacts of climate change, and to equitably build resiliency into the planning, development and public health efforts of city government. These deliverables will be achieved by explicitly taking the approach of pairing community education with community engagement to ensure that residents directly impacted by environmental and climate justice issues gain knowledge necessary to fully and meaningfully participate in a the planning process at the local level. By making it possible for participating residents to access and digest key environmental concepts and relevant data, the Community Engagement Process for Flint Climate Change and Resiliency Plan project will build the capacity of residents to understand how their lives are affected by the intersection of environmental justice and climate resilience, and help positively shape the future of Flint through the planning process, as otherwise residents disengage due to information that feels overly academic and beyond comprehension. At the end of the project, Flint residents will benefit from a place-centered, culturally competent environmental literacy curriculum that can lead to individual and collective action toward improved local policy.

Activities:
The activities include current project partners bringing together relevant data from multiple sectors and sources, and work together to determine the most effective, accessible way to present the information to the public. Partners will leverage existing community expertise through creative engagement approaches of CBOs, technological expertise from a local business, scientifically accurate data through academic partners and additional Flint-specific data from government agencies (e.g. related to topics such as government energy use, pressing public health issues, and existing efforts to generate environmental improvements at the neighborhood scale  Community-based organizations will assist the City of Flint in recruiting residents from neighborhoods with EJ concerns to serve on the steering committee. Existing partnerships between academia and CBOs will help to inform community education and planning processes, such as the NOAA-funded Climate Resilient Flint team focused on climate education and demonstration projects, rather than duplicating services.


Outcomes:
The anticipated deliverables include a collaboration with community and academic partners to facilitate the creation of a Climate Change and Resiliency plan for the City of Flint that accurately reflects the desires and needs of its residents. Thus Climate Change Resiliency plan will be disseminated in print and social media formats, in all languages spoken in the city.  At the end of the project, Flint residents will benefit from a place-centered, culturally competent environmental literacy curriculum that can lead to individual and collective action toward improved local policy. The expected outcomes include strong, intentional community education and engagement sets Flint up for future success by increasing residents and rsquo; capacity to be environmental and climate justice champions at neighborhood and city-wide scales, and increase community buy-in for implementation of the resulting Flint Climate Change  and amp; Resiliency Plan. The intended beneficiaries include residents, community-based organizations, government agencies, community groups and other stakeholders in Flint including the Environmental Transformation Movement of Flint (CBO), Crim",CITY OF FLINT,IRA,Primary,Awarded,0E+00,1000000,"Flint, MI",43.023556,-83.692154,,Flint,,MI,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-83.692154,43.0235559990589
355,,04-29-2024,Justice in the Air: The Partnership for Community Health Equity,"This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to Earth Care International.  Specifically, the recipient will partner with the City and County of Santa Fe, the Santa Fe Public School District, the Health Equity Partnership, Mainstreet New Mexico, and the Southside Business Council to conduct a community-led health assessment for the southside of Santa Fe using the collaborative problem-solving framework to develop concrete urban planning, local policy, and community-driven development solutions to the environmental justice and public health challenges facing the area. They will use a Health Impact Assessment to establish a foundation for cumulative impacts assessment while considering land-use development proposals. They will also conduct a citizen-science air-monitoring project focused on emissions from an asphalt plant to empower students and residents in the area with data to inform community advocacy efforts. These complementary projects will engage public institutions, business leaders, decision-makers, and thousands of youths and families in collaborative problem-solving and public policy development. The expected outcome of the community-driven assessment project will be policy and community development directives developed by diverse stakeholders to foster environmental justice, improve community health, and build long-term resilience in the face of climate change.

Activities:
The activities include three civic engagement processes to generate community-driven solutions to community health, environmental and development concerns that have begun to be articulated in response to the proposed expansion of an Asphalt Plant in the area. The first process and overarching framework is the Collaborative Problem-Solving process to fully invest community-led solution building to mitigate the pollution and other challenges in the area and build a more resilient community. The second process is the Health Impact Assessment which will engage the community around the question of how cumulative impacts analysis requirements in development and permitting processes might support the community and rsquo;s environmental justice vision and goals. The third is an air quality monitoring component designed to contribute to the project and rsquo;s leadership development, information gathering, and solution-generation objectives. The activities include, forming the project team, developing trainings and training community leaders, developing an engagement plan, conducting outreach for screening and scoping processes, establishing five air monitoring sites and monitoring air quality, conducting Health Impact Analysis, reporting findings, and developing recommendations and an action plan.

Outcomes:
The anticipated deliverables include twenty youth and parent leaders trained in community health assessment and air quality monitoring, ten technical trainings on collaborative problem-solving model, Health Impact Analysis assessment, cumulative impacts assessment, citizen science reports, air quality monitoring, and data and evaluation for project team including staff, stakeholder partners, youth and parent project leaders, and teachers. Additionally, five-hundred residents will be reached through canvassing and community meetings to engage neighborhood residents, five monitoring sites will be established, five teachers will be given technical training and engaged in curriculum development and service-learning project integration, two-hundred students will be reached through service-learning curriculum to engage student in citizen science air quality monitoring, an additional one-thousand local residents and stakeholders will be engaged through Health Impact Analysis door to door canvassing, surveys, focus groups, and community meetings, health assessment qualitative and quantitative data including air quality monitoring data will be collected from five sites, and community evalua",EARTH CARE INTERNATIONAL,IRA,Primary,Awarded,02F50801,500000,"Santa Fe, NM",35.661903,-105.98193,,Santa Fe,,NM,66.306,Environmental Justice Collaborative Problem Solving,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-105.98193,35.661902999106
356,,06-21-2024,Inflation Reduction Act &ndash; Environmental Justice Government-To-Government (EJG2G) Program,"This agreement provides funding under the Inflation Reduction Act (IRA  The agreement provides funding to San Francisco Environment Department (SFE) to address indoor and outdoor air quality and concerns. This project will engage San Francisco and rsquo;s communities with environmental justice (EJ) communities to recommend and implement community-led climate action and use this engagement to inform ongoing implementation of the city and rsquo;s Climate Action Plan (CAP   Program goals are to increase EJ communities and rsquo; capacity to understand and act on climate change, improve government response and services, and ultimately improve health outcomes and reduce greenhouse gas (GHG) emissions in EJ communities. Specifically, the recipient will 1) Bring communities with EJ concerns together to identify climate action solutions and priorities appropriate to their communities; Provide grants and incentives to community based organizations (CBOs) and small businesses that serve EJ communities to implement climate justice projects and support their climate action; Host a participatory Health Impact Assessment (HIA) workshop focusing on the health effects of climate change and discuss incorporating these impacts into a future update of the City s Racial and Social Equity Assessment Tool (RSEAT) to ensure they provide equitable benefits, avoid unintended consequences, and advance citywide racial, social, and health equity goals; Assess the City and rsquo;s Racial and Social Equity Assessment Tool and rsquo;s inclusion of components of the HIA and use the tool to assess future policies and projects to ensure they provide equitable benefits, avoid unintended consequences, and advance citywide racial, social, and health equity goals; Engage and educate stakeholders on health and equity impacts of climate change and provide tools and technical assistance to mitigate climate change; and use community-driven solutions to inform and guide implementation of the City and rsquo;s EJ Framework and updates to the General Plan.  

This cooperative agreement provides full federal funding in the amount of $1,000,000.00. See terms and conditions.

Supporting activities include workshops, listening sessions, and community engagement tools.

Activities:
The activities are driven by 7 objectives comprised of the following activities. 

Objective 1 is to ensure that investment outlined in the General Plan and California Action Plan reflect communities with EJ concerns and improve outcomes for black, indigenous, people of color (BIPOC) and low-income communities. The project activities under objective one include conducting a series of listening sessions to understand residents and rsquo; challenges and barriers related to climate action and use this to inform the City s General Plan. These listening sessions will be held between October 2024 and March 2025.  

Objective 2 includes conducting a Rapid Health Impact Assessment (HIA) to inform decision making in climate policy and updates to the health section of the City s Racial and Social Equity Assessment Tool (RSEAT) to ultimately improve health outcomes for residents of EJ communities. Specifically, this project activity includes selecting a climate-related policy or program on which to conduct rapid HIA. SFE in partnership with CBOs and the community will decide on the scope of the assessment, including data to present to the community, affected groups/populations to include at the workshop, likely areas of health consequences and activities to conduct the assessment and recommendation phases at a community workshop. Use the RSEAT to support the assessment. Organizers will develop an event invitation ensuring objectives and outcomes and develop pre-survey; conduct the rapid HIA workshop focused on assessment and recommendation portion of HIA; post-meeting follow-up to capture stakeholder input on the assessment and recommendations; and revise existing the RSEAT based on findings and understand how",CITY AND COUNTY OF SAN FRANCISCO,IRA,Primary,Awarded,98T89601,1000000,"San Francisco, CA",37.7731,-122.41128,94103,San Francisco,San Francisco County,CA,66.312,Environmental Justice Government-to-Government,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-government-government-program,,01-31-2025,-122.41128,37.7730999990863
357,,06-25-2024,National Wildlife Foundation - Globeville I-70 Green Infrastructure Partnership - 2024-2027,"The agreement provides funding to National Wildlife Foundation and rsquo;s Rocky Mountain Regional Center (RMRC) working with the Green Dot Coalition, Birdseed Collective, The Park People, and The Design Workshop Foundation to address environmental and public health issues in the neighborhood of Globeville. The Globeville neighborhood is a historically underserved area in the northeast quadrant of Denver, Colorado. Together, the project team aims to decrease the impact of Interstate-70 (I-70) on the predominantly Black, Indigenous, or People of Color (BIPOC) residents of Globeville by planting climate friendly trees and plants, and installing green infrastructure that will mitigate impacts of the highway on the residential neighborhood by reducing noise, air pollution, polluted runoff, and the heat island effect.

Activities:
The project includes robust community engagement through events, murals, in-person conversation, development of landscape design based on community priorities and environmental needs, water management; planting trees and other landscape elements along I-70, developing and implementing a long-term maintenance and stewardship plan, employing a local community member to implement maintenance, and engaging residents and community leaders to steward newly installed green infrastructure in the Globeville neighborhood.

Outcomes:
The anticipated deliverables include establishing green infrastructure (trees, grasses, flowering plants) along the I-70 corridor, painted mural on sound barrier wall, community outreach and engagement on community improvements, and develop and implement long-term maintenance and stewardship of the green infrastructure.
The expected outcomes include reduce heat island effect near the project area and surrounding communities, reduce air pollution and noise pollution from interstates to nearby neighbors in Globeville with new green infrastructure establishment and engage the community in the projects benefits.
The intended beneficiaries include the Globeville community members near the project site that have been historically overburden by effects of the interstates and environmental pollution. 


Subrecipient:
Green Dot Coalition $77,000 - provides resources by connecting people to the environment, small businesses to large sustainability-minded corporations, and government resources to local community needs. As the main relationship holder and community connecter they will lead relationship-building by serving as a conduit between NWF and other partners and taking the leadership of the Green Dot Coalition, develop content that can be shared to spread awareness and education behind the project, help coordinate volunteers for any environmental action days and support creation of green space through relationships with other small businesses and the City of Denver.

Birdseed Collective $84,000 - a nonprofit community outreach organization dedicated to improving the socioeconomic climate of Denver through innovative arts, humanities offerings, and civic projects since 2017. They run the Globeville Recreation Center where the majority of community engagement events will be held and have strong relationships with community members, youth, families, and leaders. They will continue to cultivate community connections with Globeville leaders, families, and youth to receive input and guidance that informs the I-70 project design and implementation, lead the creation of a mural in the project area, facilitate community participation in project implementation through volunteer recruitment and support and foster the recruitment and support of Globeville community members to engage in long-term maintenance and stewardship of the I-70 green infrastructure project.

The Park People (TPP) $102,917 - is a nonprofit organization that works with communities to plant trees and improve parks for a healthy resilient future. They have been working in Globeville for over 30 years and hav",NATIONAL WILDLIFE FEDERATION,IRA,Primary,Awarded,00I43300,500000,"Denver, CO",39.78638,-104.95943,80216,Denver,Denver County,CO,66.306,Environmental Justice Collaborative Problem-Solving Cooperative Agreement Program,Protecting Communities,https://www.epa.gov/environmentaljustice/environmental-justice-collaborative-problem-solving-cooperative-agreement-5#:~:text=The%20Environmental%20Justice%20Collaborative%20Problem-Solving,,01-31-2025,-104.95943,39.7863799990721
